62.0;0;1;-1;1;1;1;-1;-1;-1;1
57.0;0;1;-1;1;1;-1;-1;1;-1;1
45.0;0;1;-1;1;1;-1;1;1;-1;1
63.0;0;1;-1;1;1;-1;1;1;-1;1
32.0;1;1;1;-1;1;-1;1;0;-1;1
43.0;0;1;1;1;1;-1;1;1;-1;1
67.0;-1;1;-1;-1;1;-1;-1;-1;-1;1
73.0;1;1;1;-1;-1;-1;-1;-1;-1;1
60.0;0;1;-1;-1;-1;-1;-1;-1;1;1
55.0;-1;1;-1;1;-1;-1;-1;-1;1;1
58.0;0;-1;-1;-1;1;-1;-1;-1;-1;1
61.0;1;1;-1;0;-1;1;-1;-1;-1;1
50.0;0;1;-1;-1;1;1;-1;-1;-1;1
46.0;1;-1;-1;1;-1;-1;-1;1;-1;1
-1.0;-1;1;-1;-1;1;-1;-1;0;-1;1
80.0;0;1;1;-1;1;-1;-1;-1;-1;1
-1.0;-1;1;1;-1;1;-1;-1;0;-1;1
-1.0;-1;1;1;-1;1;1;-1;-1;-1;1
75.0;0;1;-1;1;1;1;-1;-1;-1;1
71.0;0;1;-1;-1;1;-1;-1;-1;-1;1
69.0;1;-1;-1;-1;-1;-1;-1;-1;-1;1
27.0;0;0;1;-1;-1;-1;-1;0;-1;1
78.0;1;0;1;-1;-1;-1;-1;-1;-1;1
71.0;1;0;1;-1;-1;-1;-1;0;-1;1
55.0;1;0;1;-1;-1;-1;-1;1;-1;1
58.0;1;1;1;-1;-1;-1;-1;-1;-1;1
48.0;1;-1;-1;-1;1;-1;-1;1;1;1
68.0;0;1;1;-1;-1;-1;-1;-1;-1;1
64.0;0;-1;1;-1;1;-1;-1;-1;-1;1
63.0;0;1;1;-1;-1;1;-1;-1;-1;1
43.0;0;1;-1;-1;-1;1;-1;-1;-1;1
55.0;0;1;-1;-1;1;-1;-1;1;-1;1
47.0;0;1;-1;-1;1;1;-1;-1;-1;1
63.0;-1;-1;-1;-1;-1;-1;-1;0;-1;1
76.0;0;-1;-1;-1;-1;-1;-1;1;-1;1
87.0;0;1;1;1;1;-1;-1;1;-1;1
72.0;1;1;1;-1;-1;-1;-1;1;-1;1
62.0;1;1;0;1;1;-1;-1;-1;-1;1
53.0;-1;1;1;-1;-1;-1;-1;0;-1;1
73.0;0;1;1;1;-1;-1;-1;-1;-1;1
87.0;0;-1;1;-1;1;-1;-1;-1;-1;1
82.0;1;1;1;-1;-1;-1;-1;-1;-1;1
65.0;0;1;-1;-1;1;-1;-1;-1;-1;1
69.0;-1;1;-1;1;1;-1;-1;-1;1;1
61.0;0;1;1;-1;-1;1;-1;-1;-1;1
61.0;0;-1;-1;-1;-1;-1;-1;-1;-1;1
4.2;-1;1;-1;-1;-1;-1;-1;-1;-1;1
84.0;0;-1;1;1;-1;-1;-1;-1;-1;1
60.0;0;-1;-1;1;-1;-1;-1;-1;-1;1
55.0;1;-1;1;1;1;-1;-1;-1;-1;1
57.0;0;-1;-1;1;-1;-1;-1;-1;-1;1
78.0;-1;1;-1;-1;1;-1;-1;-1;-1;1
-1.0;-1;-1;1;-1;1;-1;-1;1;1;1
65.0;1;0;1;-1;1;-1;-1;0;-1;1
53.0;1;1;1;1;-1;-1;-1;-1;-1;1
40.0;0;1;1;-1;-1;-1;-1;-1;1;1
60.0;0;1;1;-1;-1;-1;-1;-1;-1;1
30.0;0;1;1;-1;1;-1;-1;-1;-1;1
60.0;0;1;1;-1;-1;-1;-1;-1;-1;1
70.0;0;-1;0;-1;0;-1;-1;-1;-1;1
56.0;0;1;-1;-1;-1;-1;-1;-1;-1;1
49.0;0;1;-1;-1;-1;-1;-1;-1;-1;1
57.0;0;1;1;-1;1;-1;-1;-1;-1;1
74.0;0;0;1;-1;-1;-1;-1;-1;-1;1
71.0;1;1;1;1;-1;-1;-1;-1;-1;1
